rule, z
0, 0
0, 1
0, 2
0, 3
0, 4
0, 5
1, 0
1, 1
1, 2
1, 3
1, 4
1, 5
2, 0
2, 1
2, 2
2, 3
2, 4
2, 5
3, 0
3, 1
3, 2
3, 3
3, 4
3, 5
4, 0
4, 1
4, 2
4, 3
4, 4
4, 5
5, 0
5, 1
5, 2
5, 3
5, 4
5, 5
6, 0
6, 1
6, 2
6, 3
6, 4
6, 5
7, 0
7, 1
7, 2
7, 3
7, 4
7, 5
8, 0
8, 1
8, 2
8, 3
8, 4
8, 5
9, 0
9, 1
9, 2
9, 3
9, 4
9, 5
10, 0
10, 1
10, 2
10, 3
10, 4
10, 5
11, 0
11, 1
11, 2
11, 3
11, 4
11, 5
12, 0
12, 1
12, 2
12, 3
12, 4
12, 5
13, 0
13, 1
13, 2
13, 3
13, 4
13, 5
14, 0
14, 1
14, 2
14, 3
14, 4
14, 5
15, 0
15, 1
15, 2
15, 3
15, 4
15, 5
18, 0
18, 1
18, 2
18, 3
18, 4
18, 5
19, 0
19, 1
19, 2
19, 3
19, 4
19, 5
22, 0
22, 1
22, 2
22, 3
22, 4
22, 5
23, 0
23, 1
23, 2
23, 3
23, 4
23, 5
24, 0
24, 1
24, 2
24, 3
24, 4
24, 5
25, 0
25, 1
25, 2
25, 3
25, 4
25, 5
26, 0
26, 1
26, 2
26, 3
26, 4
26, 5
27, 0
27, 1
27, 2
27, 3
27, 4
27, 5
28, 0
28, 1
28, 2
28, 3
28, 4
28, 5
29, 0
29, 1
29, 2
29, 3
29, 4
29, 5
30, 0
30, 1
30, 2
30, 3
30, 4
30, 5
32, 0
32, 1
32, 2
32, 3
32, 4
32, 5
33, 0
33, 1
33, 2
33, 3
33, 4
33, 5
34, 0
34, 1
34, 2
34, 3
34, 4
34, 5
35, 0
35, 1
35, 2
35, 3
35, 4
35, 5
36, 0
36, 1
36, 2
36, 3
36, 4
36, 5
37, 0
37, 1
37, 2
37, 3
37, 4
37, 5
38, 0
38, 1
38, 2
38, 3
38, 4
38, 5
40, 0
40, 1
40, 2
40, 3
40, 4
40, 5
41, 0
41, 1
41, 2
41, 3
41, 4
41, 5
42, 0
42, 1
42, 2
42, 3
42, 4
42, 5
43, 0
43, 1
43, 2
43, 3
43, 4
43, 5
44, 0
44, 1
44, 2
44, 3
44, 4
44, 5
45, 0
45, 1
45, 2
45, 3
45, 4
45, 5
46, 0
46, 1
46, 2
46, 3
46, 4
46, 5
50, 0
50, 1
50, 2
50, 3
50, 4
50, 5
51, 0
51, 1
51, 2
51, 3
51, 4
51, 5
54, 0
54, 1
54, 2
54, 3
54, 4
54, 5
56, 0
56, 1
56, 2
56, 3
56, 4
56, 5
57, 0
57, 1
57, 2
57, 3
57, 4
57, 5
58, 0
58, 1
58, 2
58, 3
58, 4
58, 5
60, 0
60, 1
60, 2
60, 3
60, 4
60, 5
62, 0
62, 1
62, 2
62, 3
62, 4
62, 5
72, 0
72, 1
72, 2
72, 3
72, 4
72, 5
73, 0
73, 1
73, 2
73, 3
73, 4
73, 5
74, 0
74, 1
74, 2
74, 3
74, 4
74, 5
76, 0
76, 1
76, 2
76, 3
76, 4
76, 5
77, 0
77, 1
77, 2
77, 3
77, 4
77, 5
78, 0
78, 1
78, 2
78, 3
78, 4
78, 5
90, 0
90, 1
90, 2
90, 3
90, 4
90, 5
94, 0
94, 1
94, 2
94, 3
94, 4
94, 5
104, 0
104, 1
104, 2
104, 3
104, 4
104, 5
105, 0
105, 1
105, 2
105, 3
105, 4
105, 5
106, 0
106, 1
106, 2
106, 3
106, 4
106, 5
108, 0
108, 1
108, 2
108, 3
108, 4
108, 5
110, 0
110, 1
110, 2
110, 3
110, 4
110, 5
122, 0
122, 1
122, 2
122, 3
122, 4
122, 5
126, 0
126, 1
126, 2
126, 3
126, 4
126, 5
128, 0
128, 1
128, 2
128, 3
128, 4
128, 5
130, 0
130, 1
130, 2
130, 3
130, 4
130, 5
132, 0
132, 1
132, 2
132, 3
132, 4
132, 5
134, 0
134, 1
134, 2
134, 3
134, 4
134, 5
136, 0
136, 1
136, 2
136, 3
136, 4
136, 5
138, 0
138, 1
138, 2
138, 3
138, 4
138, 5
140, 0
140, 1
140, 2
140, 3
140, 4
140, 5
142, 0
142, 1
142, 2
142, 3
142, 4
142, 5
146, 0
146, 1
146, 2
146, 3
146, 4
146, 5
150, 0
150, 1
150, 2
150, 3
150, 4
150, 5
152, 0
152, 1
152, 2
152, 3
152, 4
152, 5
154, 0
154, 1
154, 2
154, 3
154, 4
154, 5
156, 0
156, 1
156, 2
156, 3
156, 4
156, 5
160, 0
160, 1
160, 2
160, 3
160, 4
160, 5
162, 0
162, 1
162, 2
162, 3
162, 4
162, 5
164, 0
164, 1
164, 2
164, 3
164, 4
164, 5
168, 0
168, 1
168, 2
168, 3
168, 4
168, 5
170, 0
170, 1
170, 2
170, 3
170, 4
170, 5
172, 0
172, 1
172, 2
172, 3
172, 4
172, 5
178, 0
178, 1
178, 2
178, 3
178, 4
178, 5
184, 0
184, 1
184, 2
184, 3
184, 4
184, 5
200, 0
200, 1
200, 2
200, 3
200, 4
200, 5
204, 0
204, 1
204, 2
204, 3
204, 4
204, 5
232, 0
232, 1
232, 2
232, 3
232, 4
232, 5
